links,links-href,concept,definition
?,https://glossary.infil.net/?l=rand,Armor Break,"An attack that is specifically designed to go through armor as if it wasn't there, hitting the character normally. In Killer Instinct, for example, all grounded heavy normals will always break armor, so they are strong tools to use against a character like Aganos who likes being armored for most of the match. Some games will play a special visual or audio effect if armor gets broken. If you break the armor from a Street Fighter IV focus attack, for instance, the game plays a glass shattering sound effect."
?,https://glossary.infil.net/?l=rand,Ledgedash,"Falling off a ledge in Smash Bros. Melee, then jumping and wavelanding onto the stage very quickly. If you do this correctly, you'll retain the invincibility you get from grabbing the ledge, and slip back onto the stage without a ton of risk.  You can even attack during this invincibility period, which makes this method of recovery pretty strong! Smash players have a term for how many frames your character is both invincible and able to attack after a ledgedash; they call it GALINT for Grounded Actionable Ledge INTangibility. It's a bit of a mouthful, but having lots of GALINT is good, so try to do your ledgedashes crisply to maximize the GALINTial benefits."
?,https://glossary.infil.net/?l=rand,Conversion,"Turning an unlikely hit or a scramble into a combo through great situational awareness. Sometimes you might hit your opponent with a random move that you weren't expecting to hit, but if you're really on the ball, you can invent some on-the-fly way to get more damage out of it. It's less common in games like Street Fighter, but in team games or anime games, characters are flying everywhere and stray hits at weird angles constantly happen, which makes wacky conversions commonplace at high level play."
?,https://glossary.infil.net/?l=rand,Meteor Smash,"An attack that hits the opponent at a sharp downwards angle. These are great for interrupting a recovering opponent and maybe even gimping them when they have low damage.  In Smash Bros. Melee and Brawl, characters were able to jump or use an up+B recovery move right after being hit by a meteor smash, which canceled their downward momentum and could maybe save them from death. This is called ""meteor canceling"". In the other Smash Bros. titles, meteor canceling is not possible, so you'll have to get sent the full downward distance before you can try to recover. A downward hit that can't be meteor canceled is called a spike, and since meteor canceling is not a thing in modern Smash games, ""meteor smash"" and ""spike"" are often used interchangeably. For older titles like Melee, though, there is a difference between the terms."
?,https://glossary.infil.net/?l=rand,Anchor,"Your final character in a team game. In games with assists, your anchor is often a character that can fight well on their own, or perhaps make the best use of the game's comeback factor, like X-Factor. In a game like King of Fighters, your anchor is likely just the character you are most skilled with, giving you the best chance to close out the fight, or the character that can do the most damage with all the super meter that's gone unused from the rest of your team."
?,https://glossary.infil.net/?l=rand,Shadow Move,"An enhanced special move in Killer Instinct that costs one bar of shadow meter to perform. They're essentially EX moves with the added touch of a screen freeze, so they're kind of a combination of EX moves and supers."
?,https://glossary.infil.net/?l=rand,Low Crush,"A move that is designed to avoid low attacks. In games with a crush system, this is because your move is specifically programmed to be unhittable by any attack marked as a low hit. In some communities, though, it's also used to describe a move that pulls your hurtbox up a bit so it just avoids attacks that are low to the ground. This can also be described as ""lower body invincibility"" to indicate that your lower body will phase through attacks. The opposite effect is a high crush. You might very, very rarely hear the term high profile used instead of low crush, but it's so rare that I wouldn't worry about it."
?,https://glossary.infil.net/?l=rand,Mash,"The act of pressing a ton of buttons rapidly without any thought. Lots of beginners will randomly mash, because they don't know what attacks they should be using. Try not to do this if you can! Even if you're confused, it's better to try and find one or two useful attacks and use those. That said, mashing is a mechanic in some fighting games. You can usually mash buttons to reduce the amount of time you are stunned, and in some Versus games, mashing will increase the damage done by certain super attacks."
?,https://glossary.infil.net/?l=rand,Chain Shift,"A powerful option available to an Under Night In-Birth character once they have won a GRD cycle and have entered Vorpal. By pressing the D button twice, you will immediately end your Vorpal state and convert all of your current GRD squares into tons of EXS gauge. In addition, you'll get a powerful screen freeze, so if you do this while in neutral, you'll get to see what your opponent is doing and choose any counter-attack of your choice.  You don't have to use it from neutral, though. You can cancel pretty much any hit or blocked attack (and even some whiffed ones), from the ground or in the air, using Chain Shift. Use this to make attacks safe or to extend your pressure in creative ways. In this sense, it shares a lot of similarities to Guilty Gear's Roman Cancel, but you only get one per Vorpal."
?,https://glossary.infil.net/?l=rand,Genei Jin,"An install super for Yun in the Street Fighter series. I'll be talking about the version in Street Fighter III: 3rd Strike, which is notably one of the most powerful supers in fighting game history. Yun activates a special custom combo mode that lets him cancel attacks together repeatedly, gain huge frame advantage on all his attacks, and string together long juggle combos that can do huge damage. In addition, the length of the super gauge is short, which means it is quite common for Yun to finish one activation and use it again only a few seconds later.  The super is so powerful that building meter for Genei Jin is Yun's plan for the start, middle, and end of every round. When he doesn't have the meter, he will often run away and build meter safely from a distance so he can activate it and charge in. When he does have meter, he will create virtually inescapable mixups involving strikes and command grabs, deal damage, then repeat the process. Despite how degenerate Genei Jin is, using it effectively takes quite a bit of practice and experience (especially for things like the daipan loop), so you'd best get to training."
?,https://glossary.infil.net/?l=rand,Magic Pixel,"A term used to describe an opponent who has no visible health remaining on their health bar, but are somehow still alive and fighting. It's normally only a big deal if someone is making a huge, unlikely comeback with no life remaining. Especially in games with chip damage, these usually end up being pretty exciting."
?,https://glossary.infil.net/?l=rand,Double Jump Cancel,"Canceling the very early stages of your Smash Bros. double jump directly into an aerial attack. Often shortened to DJC. This only works in Smash 64 and Melee, and only for the four characters with ""loopy"" double jumps that start with a downwards trajectory: Ness, Yoshi, Peach, and Mewtwo. By attacking quickly out of your second jump, you will not travel upwards and instead cancel all your momentum, immediately landing on the ground after your aerial.  It's an even faster way to do low-to-the-ground aerials than SHFFLing them, and it lets you apply really scary pressure. From Smash Bros. Brawl and onward, doing an aerial at the start of a loopy double jump doesn't cancel your upwards momentum, so the technique no longer applies except for a few extremely character specific tricks."
?,https://glossary.infil.net/?l=rand,Skill Ceiling,"The absolute peak of skill possible by a human in a game, assuming basically unlimited time and knowledge. If a game's interactions are pretty straightforward and easy to understand, or if there aren't a lot of interesting options that require practice, the skill ceiling will be pretty low. If a game is filled with tons of esoteric character knowledge, there are many interlocking system mechanics, and you'll have to make difficult snap decisions quickly, these things will give a skilled player a huge edge and the skill ceiling will be pretty high. We hope most games have a huge skill ceiling, or else they tend to stop being interesting much faster. You can also discuss a game's skill floor."
?,https://glossary.infil.net/?l=rand,Crew Battle,"A Smash Bros. match where two teams play against each other, trying to eliminate all members of the other team in a Pokemon style structure. These are common ways to hold money matches in Smash, and each ""crew"" is often a group of players from the same region. In an interesting twist to normal team events, the winner of a match doesn't start the next match with a full number of stocks. Instead, the number of stocks they ended the last game with is how they begin the next game, which makes every stock important."
?,https://glossary.infil.net/?l=rand,Ditto,What Smash Bros. players call a mirror match.
?,https://glossary.infil.net/?l=rand,Cancel,"Removing the recovery of an attack, usually so that you can transition immediately into another move. By far the most common instance is canceling a normal attack into a special move. To do this, input the normal and then immediately input the special move. If the normal hits the opponent, it will kinda stop halfway through and the special move will start immediately. Some people call this standard cancel a 2-in-1 and it has formed the basis of Street Fighter and other 2D games for decades. You'll typically see a cancel notated with ""xx"", like HP xx fireball.  It's far from the only type of canceling in fighting games, though. Sometimes you can cancel a normal into itself (called chaining), or a normal into other normals (called a target combo or a string). You might even be able to cancel a move into nothing, recovering instantly and able to take a new action of your choice (for example, with Guilty Gear's Roman Cancel). Canceling is a staple of the genre, and a concept every fighting game player should know."
?,https://glossary.infil.net/?l=rand,Fast Fall,"Pressing down while in the air to instantly accelerate to your character's maximum falling speed. Attacking after a fast fall is a crucial skill in Smash Bros. Melee, since it lets many characters perform several powerful aerial attacks in rapid succession, hitting the ground between each one. It's part of the core of SHFFLing."
?,https://glossary.infil.net/?l=rand,Tracking,"The ability for an attack in a 3D game like Tekken or Soulcalibur to hit you as you are sidestepping. A large part of defense in these games is moving laterally to make certain attacks whiff, but moves with good tracking tend to have beefy hitboxes extending laterally to one (or both!) sides of the character, so it's just extra hard to use sidestepping to get out of the way.  Because tracking is hitbox-based, it's kind of a sliding scale. Depending on the defender's dash speed and the size of the hitbox, some moves will be able to full track a character no matter which direction they sidestep, or maybe it will hit if you step one direction but miss if you step the other. There's also the homing attack, which forces the offensive character to turn and face you, no matter how you tried to move to avoid it, and you basically can't sidestep these at all."
?,https://glossary.infil.net/?l=rand,Airborne,"The state of being in the air. This one seems like it should be pretty easy! I mean, you're airborne if you jump, and that's that, right? Well, yes, but sometimes games will consider you airborne as a property of a move, even if it looks like you're pretty much on the ground. For example, in some games, backdashing will briefly put you in an airborne state, which might change which moves you'll choose to use when trying to hit a backdash. It is mostly used for jumps like you thought, but just be careful about these weird edge cases."
?,https://glossary.infil.net/?l=rand,Float,"Hitting your Tekken opponent into the air in a way that doesn't involve using a launcher. For example, if you catch your opponent jumping and hit them with a quick attack, you will float them and can follow up with a combo almost as if you had launched them. There are other ways you can float your opponent, depending on which version of Tekken you're playing, so look out for them and capitalize with big damage."
#,https://glossary.infil.net/?l=num,2D Game,"Any fighting game where your movement is locked to a 2D plane — that is to say, you can only move left, right, up, or down. Note that it doesn't matter if the game's art style is pixel-based, or rendered with 3D models; all that matters is how the characters are allowed to move. Although, some people will call a 2D game that uses 3D models a ""2.5D game"".  Most fighting games are 2D, including popular franchises like Street Fighter, Smash Bros., King of Fighters, and Marvel vs. Capcom. They differ from 3D games in that they often have considerably more aspects of space control, like zoning and fireballs, and jumping is usually a way more prominent fixture."
#,https://glossary.infil.net/?l=num,2-in-1,"Old-school slang for canceling a normal into a special move. The name comes from the fact that you turned 1 hit into 2 hits. I think it's more common to just use the term ""cancel"" or ""special cancel"" these days, but you'll come across this term often when reading discussion on older games."
#,https://glossary.infil.net/?l=num,09er,"Someone who started playing fighting games in 2009 with the release of Street Fighter IV, pronounced ""oh-niner"". It's supposed to be a bit of an insult, since 09ers were the new kids on the block who didn't know how fighting games worked. But many years later, all those players are veterans now, so the term is just generally used to joke about when someone started playing. You can take the joke further by changing the year as needed, so a 16er would be someone whose first game is Street Fighter V."
#,https://glossary.infil.net/?l=num,8 Way Run,"The governing method of movement in the Soulcalibur series that lets you freely and easily move in all 8 directions. You can hold any direction and start to run that way; left and right move you closer to or further from your opponent, down and up move you toward and away from the camera respectively (you can also Quick Step vertically), and the diagonals will do both at once. You can freely change your direction while you are moving.  Some commands can only be performed out of certain directions in an 8WR, so check your move list carefully. Because there is a brief bit of startup on the movement, if you want to quickly access these 8WR moves from a standstill, you will typically double-tap (and then hold) the direction before pressing your button."
#,https://glossary.infil.net/?l=num,360,"A joystick motion used to execute some special moves, almost always a command throw like a Spinning Piledriver. On paper, it requires a full 360-degree rotation of your joystick, starting at any one direction and ending at the same place. In practice, most games have a shortcut for this input; usually a 270-degree input will do. So, for example, you could do a half circle forward, and then keep going and end at the up direction, and that will probably work just fine. You might think it's hard to do this motion and not get an accidental jump, but if you do it fast enough, you'll be fine."
#,https://glossary.infil.net/?l=num,6-Button Fighter,"A fighting game that uses 3 strengths for punch attacks (light punch, medium punch, heavy punch) and 3 strengths for kick attacks (light kick, medium kick, heavy kick). The various entries in the Street Fighter series are by far the most common 6-button fighting games. There are some team games that use 6 distinct buttons, like Marvel vs. Capcom, but some of those buttons are dedicated to calling assists. You could probably make the definition fit if you were in a pinch, but it's not how most people will use the term. There are many fighting games that only use 4 primary attacks as well."
#,https://glossary.infil.net/?l=num,0 to Death,"A Smash Bros.-specific term for a touch of death combo. Since Smash health bars are measured in percent starting at 0%, this just describes the same phenomenon of your health bar getting nuked in a slightly different way. Smash usually has stuff like directional influence to let you escape combos, but 0 to death sequences will sometimes include when the offensive player correctly reads the DI escape attempt and keeps the combo up (and in some cases, a ""true"" 0 to death won't have any DI escape possible)."
#,https://glossary.infil.net/?l=num,720,"A joystick motion used to execute some supers that requires two complete spins (a full 720-degree rotation) of your analog stick. The supers that take these inputs are almost always lightning fast command throws that do a huge grip of damage.  Unlike the 360 motion, it is very difficult to do this motion without accidentally jumping, even if the game has a slight shortcut for the command. As a result, you usually need a bit of a trick to input it, like jumping first and doing the motion as you land, or whiffing a move on purpose and ""hiding"" most of the input while your character is swinging. This is intentional, because a move this strong needs to take a bit of time to input and require some planning, or else it will just be way too good. If you're an absolute beast, and the game allows it, you can try to do a standing 720, but good luck."
#,https://glossary.infil.net/?l=num,1-Frame Link,"A link that only has a 1-frame window to succeed, the smallest possible time interval in a fighting game. You'll know you have a 1-frame link on your hands if the on hit advantage number for your first move matches the startup number for the second move (for example, a +5 on hit attack linking into a move that hits on the 5th frame).  In some games, it's as tight as it sounds; you'll just have to hit the link perfectly with a just frame input with no tricks to save you. But in most games, you'll get a bit of help to make the link easier. For example, there are input tricks like plinking and pianoing that will give you multiple shots to hit the window. And the game itself might have an input buffer which will save and apply your input on the correct frame if you hit it a little early. So despite how hard it may sound, hitting the exact 1-frame window isn't always necessary."
#,https://glossary.infil.net/?l=num,4-Button Fighter,"A fighting game that uses only 4 primary attack buttons. This will commonly be 2 punch buttons and 2 kick buttons, as you'll see in King of Fighters and Tekken, but you may also see some other creative layouts; Blazblue and Under Night In-Birth use three attacks (light, medium, heavy) and a special ""Drive"" button that controls various system mechanics. Despite having fewer buttons than their 6-button counterparts, 4-button fighters are still plenty deep, complex, and engaging."
#,https://glossary.infil.net/?l=num,3-Out System,"A format used for pools in double elimination tournaments that sees one player on the winners side and two players (rather than just one) on the losers side qualify to the next set of pools. In essence, instead of the two players on the losers side playing to try and get out of the pool, they will both qualify to opposite ends of the next bracket, so they won't have to face each other. This lets you avoid a bunch of annoying double jeopardy situations where it's quite likely someone will lose twice to the same player. Many big tournaments now use this method."
#,https://glossary.infil.net/?l=num,10-String,"A Tekken string that almost always hits 10 times. Every character has at least one 10-string, although the inputs will be different between characters. They're kind of seen as a gimmick, since once the string begins, the sequence is the same each time. Some of the hits will be low and some might be high or mid, and it's up to the defender to just remember the sequence and switch their blocking direction as needed, like a game of Simon Says played from memory. If you forget the sequence, or are new to Tekken, odds are you're just going to get tagged instead."
#,https://glossary.infil.net/?l=num,3D Game,"Any fighting game where you can move anywhere in 3D space — that is to say, you can move left, right, up, or down, as well as ""in"" and ""out"" of the camera. All 3D fighting games need to use 3D models, but some 2D games will use 3D models as well, so check the game's movement options to make the proper classification.  The most popular 3D fighting game franchises are Tekken, Soulcalibur, Virtua Fighter, and Dead or Alive. Some prominent 2D franchises have tried 3D games as experiments, like King of Fighters: Maximum Impact, but their modern entries have gone back to 2D movement. Most 3D games tend to focus more on up-close brawling, where learning how to sidestep around moves instead of blocking them is a big part of the strategy."
#,https://glossary.infil.net/?l=num,50/50,"A mixup that has two possible primary options for the attacker, with each option requiring a different defensive action. Typically this is used to describe difficult to block cross-up attacks, which force you to choose between blocking left or right, or a mixup between a good low and overhead, which force you to choose between blocking high or low. Even being directly in your opponent's face can be a mixup between attacking and throwing; this is often called a ""strike/throw"" mixup.  They're named this way because it can feel like you have only a 50% chance of defending correctly. If you're struggling with these, you might check to see if any option selects exist in your favorite game that can help you deal with basic 50/50s, like fuzzy blocking or delayed throw teching."
A,https://glossary.infil.net/?l=A,Aerial Attack,"An attack in Super Smash Bros. done by pressing A button in the air with an optional direction (or by using the C-stick). Like smash attacks, you append a letter for the direction (or ""n"" for neutral) and write ""air"" after it. So a down-aerial is written as ""dair"" and pronounced as one syllable.  These are effectively your character's air normals and they are some of the strongest, most useful, most spammable moves in any Smash Bros. game. Many characters have extremely potent killing moves on at least one of their aerials, and they can be used for prolonged juggles, stage control, edge-guarding, and playing Smash's version of footsies. Of all the attacks to understand for your character, your aerials should probably be first on the list."
A,https://glossary.infil.net/?l=A,Air Dodge,"A Smash Bros. mechanic that lets you turn yourself invincible in the air, dodging attacks. The specifics change depending on which version of Smash you're playing, with each game having its own flavor of air dodging which allows for various offensive and defensive strategies.  In some games, you can air dodge as many times as you want in the same jump, while in others, you can only air dodge once and must touch the ground before you can do it again. Sometimes you can do other actions in the air after an air dodge, while other times you will start to freefall. In some games, you just air dodge in place, while in others (notably Melee), you can steer your air dodge in a direction. This is the primary mechanic that allows wavedashing to work. The mechanic really takes a unique identity in each game.  Melty Blood also uses an Air Dodge system. It makes you briefly invincible like you'd expect, but it's fast and also shifts your aerial momentum slightly, which is a powerful tool for adjusting your angle of approach in an aerial-based fighter like Melty."
A,https://glossary.infil.net/?l=A,Active Flow,"A state you can enter in BlazBlue if you attack with your character often enough, which provides a few nice passive benefits. When you've done enough offensive actions and finally land a certain attack, your gauges will all turn purple and you'll be in Active Flow for around 14 seconds. You'll get a small damage boost and your Burst gauge will regenerate faster, among other positive effects. You can even extend this timer by using your Overdrive if you like."
A,https://glossary.infil.net/?l=A,Active,"The period of time that a move has a hitbox and is capable of doing damage to the opponent. It's one of the three stages of an attack, along with startup and recovery, and is measured in frames. After your move undergoes some brief startup (the windup phase), then the active period starts, where your character's fist is finally able to connect with your friend's jaw. Then, you have to suffer the recovery (the cooldown phase) before you can move again.  Despite the active frames being the only time a move can do damage, it makes up a surprisingly small percentage of a move's total duration; usually moves only have around 1-4 active frames, even though the move itself might take 30 frames from start to finish. You don't have to focus on this number too much while you're learning how to read frame data, but you'll learn it's most useful for picking a good meaty attack."
A,https://glossary.infil.net/?l=A,Air Combo,The act of comboing an airborne opponent while you are also in the air. Air combos are a staple of most anime games and the Versus series.
A,https://glossary.infil.net/?l=A,Air Dash,"Using a dash while in the air. Some characters with air dashes can only dash in one direction, while others can dash in up to all 8 cardinal directions. Air dashes are very common in anime games and the Versus series but are quite uncommon in other fighting games. When they exist, they greatly speed up the pace of the game and generally make playing defense pretty hard, especially if you do it instantly."
A,https://glossary.infil.net/?l=A,Abare,"Attacking while you are at negative frame advantage. Pronounced ah-BAR-ray, at least by English speakers. Normally attacking while your opponent is plus is a bad idea, since if they press their fastest attack, they're going to win. But... sometimes opponents don't press their fastest attack! Maybe they want to stretch their advantage a little too far and, say, take extra time to walk up and throw. If you abare in these situations, you'll probably land some hits.  Just be careful, though. There's always some risk that your opponent will just attack quickly and counter hit you. Abare is very closely tied to the concept of turns, and was first brought over as a loan word from Virtua Fighter. In fact, VF has a related concept called moral, which is kind of the opposite of abare."
A,https://glossary.infil.net/?l=A,Absolute Guard,"A game mechanic that forces your character to block all incoming attacks while you are trapped in block stun, even if you let go of the joystick. As long as your opponent attacks you with a true block string, you're just stuck.  Most games will typically have absolute guard, but a game like SFIII: 3rd Strike, which lets you red parry while you are blocking, will not have absolute guard so you can be hit if you mess it up. Some games will even automatically switch your block from low to high or auto-block cross-ups while you are in block stun, but this is a game-specific choice."
A,https://glossary.infil.net/?l=A,Advantage,"Usually refers to frame advantage — that is, who is allowed to attack first after some move hits or is blocked. You might say ""you can't press a button there, I'm advantage"" to indicate that you are plus, or you can also talk about it from the perspective of the player who is minus, saying they are at disadvantage. It also might refer to who wins in a certain matchup, such as ""I think Ken has an advantage against Ryu""."
A,https://glossary.infil.net/?l=A,Aerial Control,"The ability to change your character's trajectory after being hit into the air in Soulcalibur. By holding a direction on the joystick, you might be able to steer yourself away from a potential Ring Out, or just avoid other follow-up hits in a juggle. It is reminiscent of directional influence in Smash Bros."
B,https://glossary.infil.net/?l=B,Balance,"A measure of how strong a game's characters are, compared to each other. If most characters in a game have relatively similar chances to win, then you might say the game is pretty balanced. If there are a couple particularly broken strategies or characters that dominate all others, then the game would be pretty imbalanced. Perfect balance is impossible to achieve, and it's debatable whether balance is that important to fun factor anyway, since many of the genre's most exciting games have some pretty dominant characters. But imbalanced games fall apart pretty quickly without a fair bit of game design luck, so I wouldn't recommend designing it that way on purpose."
B,https://glossary.infil.net/?l=B,Babality,"A finishing attack performed after winning a game of Mortal Kombat that turns the opponent into an infant. Usually you have to satisfy some extra condition in the winning round to be able to do one; in Mortal Kombat 9's case, for example, you have to win the final round without blocking. It's a play on the Fatality."
B,https://glossary.infil.net/?l=B,Back Roll,"The act of rolling away from the opponent in a soft knockdown situation, although not every game allows for you to roll when your back hits the ground. Usually the term is reserved for these situations, even though games like Smash Bros. allow you to roll at any point during the fight."
B,https://glossary.infil.net/?l=B,Ball Top,"A style of joystick used in an arcade stick that looks like a giant gumball on top of a small rod. This is the common style used in Japanese arcades, and is the default joystick on pretty much all of the stock arcade sticks you'll buy today (although you can still find bat tops around too).  There are many ways to hold a ball top; you'll typically rest part of your wrist on the base of the stick and subtly push and pull the ball with different parts of your hand as necessary, not using a ton of the wrist. Or, you might see some players hold it like a wine glass, which uses more wrist for basic movement. Just don't try to use it by grabbing the ball with your hand elevated off any support. You can't be precise enough and you'll get sore pretty fast."
B,https://glossary.infil.net/?l=B,B-Reverse,"A technique in Smash Bros. that causes you to face the other way and also reverse the direction you're traveling as soon as you perform a special move. It was first introduced in Smash Bros. Brawl and has been in all versions of Smash since. To do this, input your special move, and then immediately tap the opposite direction after.  B-Reversing lets you do a bunch of cool things, like running away from the opponent and then suddenly changing your momentum to fly back at their face while attacking with a projectile. It's common to get B-Reverse confused with Turnaround-B (gee, I can't imagine why) and the wavebounce. It helps to remember that if ""reverse"" is in the name of the term, it's the one that reverses everything (both your momentum and the direction you're facing)."
B,https://glossary.infil.net/?l=B,Bait,"Doing something specific to induce a certain move from your opponent, and then countering it perfectly. In other words, it's tricking them into thinking some attack or movement option was a good idea, and then showing them very clearly that it wasn't. Perhaps the most common bait is walking up to an opponent you've knocked down, threatening to attack, then blocking their reversal dragon punch; doing this successfully is ""baiting the DP"". You can also bait attempts to throw tech by walking up to them, pretending to throw, then walking back. This is a common enough strategy that we've even given it a name."
B,https://glossary.infil.net/?l=B,Backdash,"Inputting the back direction twice to dash backwards. In many modern fighting games, you are briefly invincible while backdashing, which can let you escape your opponent's pressure. But even if that's not the case, backdashing is often very useful to suddenly create a good amount of space between you and your opponent. If they attack at the right time, you can make attacks whiff and maybe even score a punish."
B,https://glossary.infil.net/?l=B,Bar,"A small segment of super meter. Also often called a stock. The entire super meter is typically divided into several bars, which can each be individually spent on actions such as EX moves."
B,https://glossary.infil.net/?l=B,Balcony Break,"Punching someone through a wall that acts as an overhang to a new part of the stage below. It is effectively a combination of a wall break and a floor break, and only possible on a select few stages. Like the other ""breaks"", you need to use a specific move to break the wall and you'll get to continue the combo afterward. A lot of these stage destruction abilities have extremely similar uses in matches, just different aesthetics to match the various stage locales."
B,https://glossary.infil.net/?l=B,Back Turn,"Facing away from your opponent, with your back to them. Some moves will leave you with your back turned to your opponent, and you can access special techniques while doing this (think of it almost like a stance if you like). Moves that have to be executed from a back turn are often labeled BT."
C,https://glossary.infil.net/?l=C,Canadian Burst,"Bursting while your character is at the top of the screen, and your opponent is nowhere near you. It's just the worst burst ever. It had no chance of hitting at all, and now you're gonna get massively punished too. Were you even looking at the screen?   Usually this happens because you panicked or were too slow to realize what was happening, but there are some legitimate reasons too! Some combo paths launch you at strange angles and you might have to try bursting before the opponent gets near you, so you can look mighty silly if they didn't continue the sequence. You'll sometimes hear this called a ""Domi Burst"" after the strong Japanese anime player Domi, who for some reason seems to do this a lot. Like the Chicago Punish and other self-deprecating regional terms, feel free to replace ""Canadian"" with your own region."
C,https://glossary.infil.net/?l=C,Caliburst,"Bursting when you are extremely low on life and your opponent has most of their health bar remaining (assuming it's not the final round, of course). It's a super aggressive play... are you really going to make that comeback? Bursts don't grow on trees, so you're usually better off saving this super precious resource for a round you actually have a chance at winning! If you lose, you're down a round and without your Burst, so now you're in real trouble. But then again, since many Californian players love to play all-in rushdown styles, it seems to fit the namesake pretty well."
C,https://glossary.infil.net/?l=C,Casuals,"Playing matches for fun where the results don't matter. Casuals are basically everything that isn't a tournament match or a money match, and you might ask to get some casuals in whenever you go to a local gathering or during downtime at a tournament."
